transaction_id,customer_id,transaction_date,amount,merchant_category,transaction_type,currency,status
TXN-00000001,CUST-000957,2024-12-25,38.67,entertainment,debit,EUR,failed
TXN-00000002,CUST-000479,2025-05-21,33.03,grocery,debit,EUR,failed
TXN-00000003,CUST-000469,2025-05-01,26.77,dining,transfer,GBP,failed
TXN-00000004,CUST-000482,2025-02-05,19.89,dining,credit,USD,pending
TXN-00000005,CUST-000053,2026-07-25,37.33,healthcare,credit,USD,pending
TXN-00000006,CUST-000517,2025-01-03,28.46,entertainment,transfer,GBP,failed
TXN-00000007,CUST-000122,2025-01-29,37.53,travel,debit,GBP,failed
TXN-00000008,CUST-000412,2025-03-26,33.12,travel,transfer,EUR,pending
TXN-00000009,CUST-000532,2026-01-08,28.5,healthcare,debit,EUR,failed
TXN-00000010,CUST-000327,2025-05-04,52.92,electronics,transfer,GBP,failed
TXN-00000011,CUST-000502,2025-03-17,49.86,entertainment,debit,EUR,pending
TXN-00000012,CUST-000690,2025-07-14,13.22,electronics,transfer,GBP,failed
TXN-00000013,CUST-000028,2026-05-06,39.69,utilities,transfer,GBP,completed
TXN-00000014,CUST-000739,2024-08-10,10.12,healthcare,transfer,GBP,failed
TXN-00000015,CUST-000794,2026-03-30,57.36,utilities,debit,USD,failed
TXN-00000016,CUST-000971,2026-05-27,46.53,dining,credit,EUR,completed
TXN-00000017,CUST-000423,2024-11-03,51.59,entertainment,transfer,EUR,failed
TXN-00000018,CUST-000745,2026-02-22,18.26,utilities,credit,GBP,pending
TXN-00000019,CUST-000322,2025-02-16,105.63,healthcare,credit,GBP,pending
TXN-00000020,CUST-000693,2025-07-03,126.16,utilities,transfer,EUR,failed
TXN-00000021,CUST-000496,2025-07-02,18.91,healthcare,credit,USD,pending
TXN-00000022,CUST-000790,2025-11-18,22.98,utilities,credit,EUR,pending
TXN-00000023,CUST-000358,2024-11-23,117.58,utilities,credit,EUR,completed
TXN-00000024,CUST-000588,2026-03-05,48.95,dining,credit,USD,pending
TXN-00000025,CUST-000044,2024-08-15,11.95,electronics,credit,GBP,pending
TXN-00000026,CUST-000766,2026-07-15,31.95,healthcare,credit,GBP,failed
TXN-00000027,CUST-000279,2025-02-21,9.07,healthcare,debit,USD,completed
TXN-00000028,CUST-000686,2024-09-21,67.91,travel,debit,USD,pending
TXN-00000029,CUST-000339,2026-03-29,46.14,entertainment,debit,USD,failed
TXN-00000030,CUST-000952,2025-04-14,8.56,dining,credit,GBP,completed
TXN-00000031,CUST-000775,2026-01-01,84.6,utilities,debit,USD,failed
TXN-00000032,CUST-000588,2025-11-05,8.11,entertainment,debit,USD,pending
TXN-00000033,CUST-000904,2025-09-15,53.82,utilities,credit,USD,completed
TXN-00000034,CUST-000306,2025-12-18,36.76,electronics,credit,EUR,failed
TXN-00000035,CUST-000557,2026-03-19,44.76,travel,transfer,EUR,pending
