order_id,user_id,order_date,total_amount,category,status,payment_method,shipping_country
ORD-00000001,USR-000117,2025-07-22,102.72,home,delivered,paypal,FR
ORD-00000002,USR-000660,2025-02-06,34.17,home,shipped,card,FR
ORD-00000003,USR-000758,2025-10-10,48.21,sports,returned,card,CA
ORD-00000004,USR-000789,2025-07-28,21.77,toys,delivered,card,CA
ORD-00000005,USR-000141,2026-02-03,35.4,apparel,cancelled,apple_pay,DE
ORD-00000006,USR-000916,2025-01-06,33.74,sports,delivered,apple_pay,CA
ORD-00000007,USR-000076,2024-12-20,55.17,apparel,returned,cod,CA
ORD-00000008,USR-000620,2025-03-28,21.62,electronics,delivered,card,UK
ORD-00000009,USR-000144,2026-01-25,40.87,sports,returned,apple_pay,US
ORD-00000010,USR-000776,2024-10-11,38.92,sports,returned,cod,US
ORD-00000011,USR-000522,2024-12-31,24.3,electronics,shipped,cod,CA
ORD-00000012,USR-000443,2025-11-07,43.47,toys,cancelled,card,US
ORD-00000013,USR-000747,2024-11-25,114.09,toys,shipped,cod,DE
ORD-00000014,USR-000177,2025-07-21,28.09,sports,returned,cod,FR
ORD-00000015,USR-000851,2026-05-09,33.02,toys,returned,card,DE
ORD-00000016,USR-000837,2025-11-25,18.94,toys,delivered,cod,UK
ORD-00000017,USR-000595,2026-05-08,41.47,books,delivered,paypal,UK
ORD-00000018,USR-000350,2025-02-17,32.56,electronics,returned,apple_pay,FR
ORD-00000019,USR-000857,2025-12-28,24.37,books,shipped,apple_pay,FR
ORD-00000020,USR-000026,2026-01-21,8.11,apparel,returned,apple_pay,DE
ORD-00000021,USR-000565,2025-03-03,30.93,electronics,cancelled,cod,UK
ORD-00000022,USR-000821,2025-03-03,8.61,apparel,delivered,apple_pay,FR
ORD-00000023,USR-000439,2025-07-26,20.61,toys,shipped,apple_pay,UK
ORD-00000024,USR-000609,2024-12-03,33.09,sports,returned,apple_pay,DE
ORD-00000025,USR-000051,2025-08-22,37.52,electronics,shipped,card,US
ORD-00000026,USR-000105,2025-08-04,34.0,toys,delivered,card,FR
ORD-00000027,USR-000401,2025-10-20,13.06,apparel,returned,apple_pay,CA
ORD-00000028,USR-000186,2024-12-13,21.33,apparel,delivered,cod,CA
ORD-00000029,USR-000908,2025-03-02,24.48,electronics,cancelled,paypal,DE
ORD-00000030,USR-000667,2025-06-24,32.91,toys,returned,apple_pay,CA
ORD-00000031,USR-000481,2025-12-15,51.13,toys,delivered,apple_pay,UK
ORD-00000032,USR-000401,2025-12-22,18.75,sports,cancelled,card,DE
ORD-00000033,USR-000556,2026-06-13,19.33,home,shipped,apple_pay,UK
ORD-00000034,USR-000742,2024-10-02,10.56,sports,returned,apple_pay,FR
ORD-00000035,USR-000204,2025-03-23,117.55,books,shipped,apple_pay,FR
ORD-00000036,USR-000760,2025-06-02,86.74,home,returned,paypal,DE
ORD-00000037,USR-000853,2025-05-21,24.25,sports,cancelled,apple_pay,CA
ORD-00000038,USR-000158,2025-05-18,22.78,sports,delivered,apple_pay,CA
ORD-00000039,USR-000163,2025-09-27,62.7,books,shipped,apple_pay,UK
ORD-00000040,USR-000250,2025-10-04,7.65,home,delivered,paypal,FR
ORD-00000041,USR-000276,2025-02-14,21.27,apparel,delivered,cod,CA
ORD-00000042,USR-000288,2026-05-03,28.64,apparel,returned,cod,CA
ORD-00000043,USR-000937,2025-12-18,67.35,home,cancelled,card,CA
ORD-00000044,USR-000576,2025-05-09,9.15,home,delivered,apple_pay,US
ORD-00000045,USR-000693,2025-01-14,5.72,apparel,cancelled,apple_pay,US
ORD-00000046,USR-000674,2025-06-17,10.34,home,shipped,apple_pay,CA
ORD-00000047,USR-000906,2026-07-20,40.79,toys,shipped,paypal,DE
ORD-00000048,USR-000636,2026-05-04,33.12,electronics,shipped,apple_pay,FR
ORD-00000049,USR-000030,2024-12-25,21.21,sports,cancelled,paypal,FR
ORD-00000050,USR-000445,2025-05-09,47.46,electronics,cancelled,card,US
ORD-00000051,USR-000537,2026-04-01,19.86,electronics,cancelled,apple_pay,UK
ORD-00000052,USR-000351,2024-11-11,51.28,sports,delivered,card,FR
ORD-00000053,USR-000238,2026-07-22,19.51,toys,cancelled,apple_pay,UK
ORD-00000054,USR-000321,2025-10-24,36.37,sports,delivered,cod,CA
ORD-00000055,USR-000486,2026-05-26,21.62,sports,cancelled,cod,US
ORD-00000056,USR-000864,2026-07-04,16.15,sports,shipped,cod,UK
ORD-00000057,USR-000905,2026-06-05,11.45,apparel,returned,cod,CA
ORD-00000058,USR-000015,2025-09-10,121.0,sports,shipped,card,FR
ORD-00000059,USR-000853,2025-08-21,22.56,electronics,cancelled,card,DE
ORD-00000060,USR-000763,2026-02-22,24.35,home,delivered,apple_pay,FR
ORD-00000061,USR-000842,2025-09-24,27.84,electronics,returned,cod,CA
ORD-00000062,USR-000693,2025-10-20,26.68,apparel,cancelled,apple_pay,US
ORD-00000063,USR-000674,2024-12-15,18.27,electronics,cancelled,paypal,DE
ORD-00000064,USR-000305,2026-07-27,7.85,electronics,shipped,paypal,US
ORD-00000065,USR-000253,2024-12-14,14.07,home,returned,cod,DE
ORD-00000066,USR-000190,2024-10-07,28.12,toys,cancelled,apple_pay,FR
ORD-00000067,USR-000025,2024-12-03,54.8,electronics,delivered,paypal,UK
ORD-00000068,USR-000255,2025-05-31,20.09,electronics,delivered,card,CA
ORD-00000069,USR-000681,2025-03-27,75.17,apparel,delivered,apple_pay,US
ORD-00000070,USR-000418,2026-06-07,8.85,toys,returned,paypal,DE
ORD-00000071,USR-000925,2026-01-12,40.99,apparel,returned,paypal,CA
ORD-00000072,USR-000522,2025-09-17,10.86,toys,delivered,card,FR
ORD-00000073,USR-000501,2025-05-02,10.44,electronics,delivered,paypal,DE
ORD-00000074,USR-000581,2025-07-23,19.79,sports,returned,card,US
ORD-00000075,USR-000368,2024-09-01,10.01,sports,returned,card,DE
ORD-00000076,USR-000659,2026-07-10,4.62,toys,delivered,apple_pay,CA
ORD-00000077,USR-000058,2025-05-19,15.92,apparel,shipped,card,CA
ORD-00000078,USR-000795,2024-12-10,48.5,books,shipped,cod,FR
ORD-00000079,USR-000628,2025-04-02,42.55,home,returned,cod,DE
ORD-00000080,USR-000049,2026-04-12,5.9,home,delivered,paypal,UK
ORD-00000081,USR-000418,2024-10-21,36.98,home,cancelled,card,FR
ORD-00000082,USR-000729,2025-01-01,34.93,sports,delivered,card,US
ORD-00000083,USR-000910,2025-03-27,12.39,electronics,returned,paypal,US
ORD-00000084,USR-000050,2024-11-11,46.98,electronics,shipped,apple_pay,DE
ORD-00000085,USR-000062,2026-07-16,12.23,electronics,delivered,card,CA
ORD-00000086,USR-000549,2025-08-13,30.8,electronics,shipped,card,FR
ORD-00000087,USR-000758,2025-03-06,6.34,toys,returned,card,DE
ORD-00000088,USR-000228,2025-01-22,22.14,books,delivered,cod,CA
ORD-00000089,USR-000756,2025-12-12,21.21,toys,cancelled,cod,DE
ORD-00000090,USR-000494,2026-03-14,20.26,toys,delivered,card,DE
ORD-00000091,USR-000936,2024-12-20,12.1,apparel,cancelled,card,CA
ORD-00000092,USR-000222,2026-06-06,22.08,apparel,delivered,card,FR
ORD-00000093,USR-000272,2025-02-09,41.06,home,cancelled,cod,FR
ORD-00000094,USR-000484,2026-01-19,12.04,home,returned,card,FR
ORD-00000095,USR-000191,2024-10-19,21.95,electronics,returned,cod,US
